day	frequency	class
12am	13	orange
01am	6	orange
02am	3	orange
03am	2	orange
04am	2	orange
05am	0	orange
06am	10	orange
07am	13	orange
08am	33	orange
09am	30	orange
10am	38	yellow
11am	33	orange
12pm	41	yellow
01pm	43	yellow
02pm	44	yellow
03pm	39	yellow
04pm	39	yellow
05pm	42	yellow
06pm	17	orange
07pm	23	orange
08pm	20	orange
09pm	19	orange
10pm	16	orange
11pm	11	orange
