day	frequency	class
12am	3	orange
01am	1	orange
02am	4	orange
03am	6	orange
04am	1	orange
05am	3	orange
06am	5	orange
07am	14	orange
08am	13	orange
09am	26	orange
10am	30	orange
11am	37	orange
12pm	22	orange
01pm	33	orange
02pm	26	orange
03pm	40	yellow
04pm	27	orange
05pm	33	orange
06pm	28	orange
07pm	25	orange
08pm	22	orange
09pm	13	orange
10pm	13	orange
11pm	13	orange
