day	frequency	class
12am	9	orange
01am	11	orange
02am	2	orange
03am	2	orange
04am	1	orange
05am	4	orange
06am	3	orange
07am	17	orange
08am	26	orange
09am	29	orange
10am	41	yellow
11am	44	yellow
12pm	41	yellow
01pm	43	yellow
02pm	43	yellow
03pm	38	yellow
04pm	46	yellow
05pm	23	orange
06pm	30	orange
07pm	22	orange
08pm	23	orange
09pm	30	orange
10pm	25	orange
11pm	13	orange
