day	frequency	class
12am	6	orange
01am	4	orange
02am	2	orange
03am	5	orange
04am	3	orange
05am	1	orange
06am	7	orange
07am	15	orange
08am	13	orange
09am	21	orange
10am	41	yellow
11am	43	yellow
12pm	34	orange
01pm	32	orange
02pm	34	orange
03pm	50	yellow
04pm	44	yellow
05pm	37	orange
06pm	27	orange
07pm	23	orange
08pm	24	orange
09pm	23	orange
10pm	19	orange
11pm	14	orange
