day	frequency	amount	class
Sunday	496	25,862	yellow
Monday	618	32,982	green
Tuesday	566	32,913	green
Wednesday	537	31,373	green
Thursday	522	30,142	green
Friday	470	28,967	yellow
Saturday	438	21,487	yellow
