day	frequency	class
12am	7	orange
01am	3	orange
02am	5	orange
03am	1	orange
04am	2	orange
05am	1	orange
06am	7	orange
07am	38	yellow
08am	48	yellow
09am	57	yellow
10am	33	orange
11am	51	yellow
12pm	40	yellow
01pm	39	yellow
02pm	41	yellow
03pm	32	orange
04pm	33	orange
05pm	37	orange
06pm	20	orange
07pm	34	orange
08pm	33	orange
09pm	29	orange
10pm	13	orange
11pm	14	orange
